companyid,time,Date,buyer,visitor,sales
1,60,00:00.0,65,130,409.1
2,60,00:00.0,84,177,479
3,60,00:00.0,69,135,340
4,45,00:00.0,77,175,282.4
5,45,00:00.0,79,148,406
6,60,00:00.0,81,127,300
7,60,00:00.0,83,136,374
8,45,00:00.0,86,134,253.3
9,30,00:00.0,87,133,195.1
10,60,00:00.0,89,124,269
11,60,38:00.0,91,124,329.3
12,60,00:00.0,67,120,250.7
13,60,00:00.0,58,128,345.3
14,60,00:00.0,59,132,379.3
15,60,00:00.0,57,177,275
16,60,00:00.0,61,120,215.2
17,60,00:00.0,47,120,300
18,45,00:00.0,89,112,873.4
19,60,00:00.0,61,123,0.003
20,45,00:00.0,67,125,243
21,600,00:00.0,59,131,364.2
22,45,00:00.0,59,119,282
23,60,00:00.0,59,101,300
24,45,00:00.0,60,132,246
25,60,00:00.0,60,126,334.5
26,60,00:00.0,60,120,250
27,60,00:00.0,60,118,241
28,60,00:00.0,60,132,953.2
29,60,00:00.0,61,132,280
30,60,00:00.0,61,129,380.3
31,60,00:00.0,61,115,243
32,45,00:00.0,61,112,180.1
33,60,00:00.0,62,124,299
34,60,00:00.0,62,113,223
35,60,00:00.0,62,136,361
36,60,00:00.0,65,140,415
37,60,00:00.0,84,127,300
38,60,00:00.0,69,120,300
39,60,00:00.0,77,122,25006
40,45,00:00.0,79,129,266
41,45,00:00.0,81,112,180.1
42,60,00:00.0,83,126,286
43,60,00:00.0,85,122,329.4
44,60,00:00.0,87,138,400
45,60,00:00.0,89,131,397
46,60,00:00.0,71,119,273
47,60,00:00.0,73,153,387.6
48,45,00:00.0,74,136,300
49,45,00:00.0,79,129,298
50,60,00:00.0,71,139,397.6
51,60,00:00.0,68,136,380.2
52,80,00:00.0,66,146,643.1
53,60,00:00.0,64,130,263
54,60,00:00.0,62,151,486
55,30,00:00.0,59,175,238
56,60,00:00.0,57,146,450.7
57,60,00:00.0,55,121,413
58,45,00:00.0,52,144,305
59,20,00:00.0,50,172,226.4
60,45,00:00.0,77,152,321
61,210,00:00.0,79,160,1376
62,160,00:00.0,81,137,1034.4
63,160,00:00.0,83,135,853
64,45,00:00.0,85,141,341
65,20,00:00.0,87,130,131.4
66,180,00:00.0,71,130,800.4
66,180,00:00.0,89,130,800.4
67,150,00:00.0,73,135,873.4
68,150,00:00.0,74,130,816
69,20,00:00.0,79,136,110.4
70,300,00:00.0,71,1500,1500.2
71,150,00:00.0,68,129,1115
72,60,00:00.0,66,153,387.6
73,900,00:00.0,64,127,700
74,150,00:00.0,62,127,953.2
75,45,00:00.0,59,146,304
76,90,00:00.0,57,125,563.2
77,45,00:00.0,77,134,251
77,45,00:00.0,79,134,251
78,45,00:00.0,81,141,300
79,120,00:00.0,83,130,500.4
80,270,00:00.0,85,131,1729
81,30,00:00.0,87,182,319.2
82,45,00:00.0,89,169,344
83,30,00:00.0,71,139,151.1
84,120,00:00.0,73,130,500
85,45,00:00.0,74,120,225.3
86,30,00:00.0,79,170,70000
87,45,00:00.0,71,136,234
88,120,00:00.0,68,170,1000.1
89,45,00:00.0,66,103,242
90,20,00:00.0,64,107,50.3
91,180,00:00.0,58,127,600.1
92,45,00:00.0,89,137,1000.1
93,30,00:00.0,57,107,105.3
94,15,00:00.0,61,100,50.5
95,20,00:00.0,47,171,127.4
96,20,00:00.0,50,168,229.4
97,30,00:00.0,61,128,128.2
98,25,00:00.0,67,168,244.2
99,30,00:00.0,59,131,188.2
100,90,00:00.0,59,124,604.1
101,20,00:00.0,59,112,77.7
102,90,00:00.0,60,110,500
103,90,00:00.0,60,100,500
104,90,00:00.0,60,100,500.4
105,30,00:00.0,60,108,92.7
106,30,00:00.0,61,128,124
106,30,00:00.0,61,128,124
106,280,00:00.0,89,168,175
107,180,00:00.0,61,120,800.3
108,30,00:00.0,61,120,86.2
109,90,00:00.0,62,120,500.3
110,210,00:00.0,62,184,1860.4
111,60,00:00.0,62,124,325.2
112,45,00:00.0,65,124,275
113,15,00:00.0,84,139,124.2
114,45,00:00.0,69,120,225.3
115,60,00:00.0,77,131,367.6
116,60,00:00.0,79,151,351.7
117,60,00:00.0,58,141,443
118,60,00:00.0,63,122,277.4
119,60,00:00.0,57,125,1034.4
120,60,00:00.0,61,124,1115
121,30,00:00.0,47,137,193.9
122,45,00:00.0,50,120,100.7
123,60,00:00.0,61,169,336.7
124,60,00:00.0,67,127,1000
125,60,00:00.0,59,151,368.5
126,60,00:00.0,59,122,1
127,60,00:00.0,59,169,275.3
128,60,00:00.0,60,127,382
129,90,00:00.0,60,125,466.4
130,60,00:00.0,60,151,384
131,60,00:00.0,60,134,342.5
132,60,00:00.0,60,138,357.5
133,60,00:00.0,61,133,335
